CustomerID,Age,Annual_Income,Spending_Score,Purchase_Frequency_Monthly,Recency_Days,Tenure_Years,Online_Purchase_Ratio,Avg_Basket_Size,Returns_Rate,Loyalty_Points,Discount_Usage_Rate,Email_Open_Rate,App_Sessions_Monthly,Wishlist_Items,Cart_Abandon_Rate,Social_Engagement_Score,Electronics_Spend,Fashion_Spend,Grocery_Spend,Travel_Spend,Customer_Service_Calls,Referral_Count,Gender
14,27.0,26429.0,77.8,10.9,32.0,2.2,0.78,4.0,0.04,818.0,0.04,0.61,4.1,2,0.41,1.1,930.0,2597.0,5284.0,414.0,1,1,Female
15,36.0,96021.0,16.8,5.1,240.0,3.9,0.15,4.2,0.17,70.0,0.13,0.28,0.0,2,0.52,1.4,5003.0,13726.0,14442.0,7985.0,1,2,Female
16,36.0,86025.0,22.9,5.9,190.0,3.6,0.34,3.7,0.08,138.0,0.25,0.75,3.8,1,0.55,0.0,6984.0,4891.0,13730.0,3390.0,0,1,Female
17,28.0,97174.0,84.2,14.0,13.0,2.7,0.7,9.0,0.14,1372.0,0.19,0.31,5.3,1,0.61,0.6,13323.0,4937.0,12895.0,8734.0,2,3,Male
18,21.0,15170.0,90.5,23.5,28.0,1.8,0.62,4.2,0.08,2424.0,0.65,0.42,11.7,2,0.05,7.1,814.0,518.0,1279.0,198.0,2,0,Male
19,26.0,18727.0,81.3,17.3,21.0,2.1,0.84,6.9,0.09,1278.0,0.32,0.19,12.6,5,0.15,1.9,2306.0,1570.0,3636.0,1243.0,1,0,Male
20,29.0,72774.0,92.3,24.2,10.0,2.4,0.91,7.0,0.03,2350.0,0.02,0.01,11.9,3,0.42,11.5,7207.0,4266.0,14248.0,139.0,1,1,Male
21,28.0,68751.0,90.3,25.2,11.0,2.9,0.77,7.0,0.06,1997.0,0.31,0.35,6.8,5,0.45,3.5,6331.0,5942.0,8433.0,2552.0,3,1,Female
22,23.0,34129.0,96.9,22.0,19.0,2.2,0.78,9.0,0.04,1980.0,0.21,0.28,12.0,4,0.29,2.4,4404.0,2711.0,2512.0,879.0,3,1,Male
23,26.0,26238.0,74.3,20.9,31.0,2.6,0.76,6.9,0.03,1521.0,0.43,0.01,4.0,10,0.21,3.6,1736.0,1794.0,2717.0,2096.0,2,1,Female
24,32.0,74597.0,47.6,34.5,8.0,2.6,0.86,6.0,0.05,1340.0,0.22,0.28,14.2,7,0.44,2.1,11062.0,10009.0,9651.0,5814.0,0,1,Male
25,41.0,93130.0,30.8,4.4,228.0,3.6,0.27,3.2,0.01,151.0,0.19,0.28,3.8,2,0.15,1.5,6742.0,12266.0,12834.0,8792.0,0,0,Female
26,37.0,95438.0,19.0,5.7,225.0,4.0,0.43,1.2,0.0,98.0,0.41,0.0,0.0,2,0.11,1.6,6335.0,5361.0,18171.0,1115.0,1,0,Female
27,26.0,22657.0,88.4,16.7,30.0,2.4,0.89,5.4,0.07,1279.0,0.41,0.09,9.2,0,0.48,1.6,3330.0,3010.0,3792.0,1231.0,2,1,Female
28,33.0,93532.0,89.6,37.8,12.0,1.7,0.78,5.1,0.05,3166.0,0.0,0.43,23.6,1,0.48,0.0,13491.0,5415.0,11823.0,6689.0,0,0,Male
29,41.0,83797.0,77.5,19.8,18.0,3.3,0.57,7.1,0.12,1494.0,0.09,0.09,6.4,5,0.29,6.8,8343.0,10697.0,12143.0,551.0,3,0,Female
30,28.0,93910.0,72.2,18.7,1.0,0.2,0.81,6.8,0.08,1498.0,0.11,0.53,10.8,6,0.42,5.1,11522.0,4506.0,15857.0,3240.0,0,0,Male
31,24.0,95468.0,82.3,22.4,12.0,2.8,0.63,6.2,0.1,1608.0,0.12,0.49,7.6,5,0.13,5.7,6990.0,10874.0,18925.0,779.0,1,0,Male
32,28.0,24612.0,70.3,16.4,31.0,2.8,0.91,3.2,0.08,1195.0,0.48,0.21,7.5,4,0.69,0.1,1672.0,3493.0,3043.0,353.0,1,1,Female
33,18.0,26598.0,71.6,27.1,22.0,4.3,0.82,5.3,0.12,1628.0,0.19,0.41,15.3,1,0.3,3.9,859.0,3612.0,2120.0,1338.0,3,0,Male
34,28.0,27860.0,73.3,21.1,15.0,2.7,0.42,6.9,0.07,1444.0,0.35,0.32,6.2,1,0.37,7.4,1556.0,2680.0,2805.0,2563.0,0,1,Female
35,26.0,80987.0,80.1,18.8,19.0,3.1,0.77,7.3,0.04,1464.0,0.26,0.27,13.0,4,0.6,0.0,7854.0,6242.0,12875.0,2364.0,1,0,Female
36,35.0,82465.0,74.1,25.1,14.0,1.3,0.78,5.1,0.11,1802.0,0.36,0.11,14.3,5,0.35,0.0,7190.0,7114.0,13182.0,2299.0,1,0,Male
37,41.0,101614.0,55.6,25.1,12.0,4.0,0.79,6.9,0.16,1216.0,0.2,0.21,17.6,4,0.32,2.9,4447.0,13936.0,8714.0,3309.0,1,0,Female
38,43.0,88721.0,27.2,6.4,265.0,5.7,0.08,4.7,0.13,200.0,0.11,0.77,2.7,2,0.24,3.7,5906.0,6156.0,17231.0,8200.0,2,0,Female
39,33.0,89117.0,95.9,14.2,24.0,1.0,0.93,8.8,0.03,1293.0,0.31,0.36,7.8,3,0.39,2.3,2575.0,4278.0,11966.0,8615.0,2,1,Male
40,23.0,30296.0,70.0,24.0,18.0,4.4,0.89,8.4,0.16,1374.0,0.23,0.58,10.5,4,0.53,5.5,2835.0,2454.0,6018.0,1763.0,2,2,Female
41,40.0,14129.0,17.0,2.5,138.0,1.6,0.16,1.1,0.06,36.0,0.44,0.26,4.6,4,0.41,0.0,2079.0,1402.0,996.0,547.0,1,1,Male
42,42.0,87219.0,31.2,7.9,199.0,7.3,0.08,3.7,0.14,241.0,0.48,0.32,2.7,0,0.44,0.0,8724.0,11893.0,9003.0,3939.0,2,1,Female
43,46.0,26093.0,25.2,6.6,172.0,4.9,0.34,1.0,0.15,147.0,0.31,0.14,3.2,5,0.25,3.0,3745.0,3677.0,2962.0,2116.0,1,1,Female
44,18.0,91018.0,87.9,24.9,18.0,4.4,0.61,7.4,0.12,2141.0,0.12,0.21,8.9,3,0.53,2.5,12309.0,12495.0,5040.0,8924.0,0,3,Female
45,48.0,22633.0,10.7,1.7,206.0,4.4,0.39,1.6,0.13,17.0,0.27,0.24,0.0,3,0.53,0.0,530.0,549.0,1738.0,711.0,2,0,Female
46,38.0,75779.0,100.0,13.1,25.0,3.5,0.67,8.2,0.1,1336.0,0.33,0.13,9.7,5,0.64,1.4,11035.0,5090.0,12819.0,4717.0,2,0,Female
47,34.0,89180.0,87.7,22.0,16.0,7.0,0.74,4.8,0.13,1960.0,0.46,0.21,8.1,5,0.22,0.0,5217.0,2312.0,8927.0,1436.0,1,1,Male
48,32.0,107331.0,28.0,3.9,225.0,2.2,0.15,2.8,0.08,116.0,0.26,0.74,2.1,2,0.45,0.1,14910.0,15343.0,15659.0,6480.0,2,0,Male
49,39.0,83938.0,5.2,5.7,139.0,3.2,0.26,3.6,0.11,32.0,0.16,0.65,0.0,3,0.33,0.0,2463.0,9643.0,10234.0,5152.0,0,1,Female
50,46.0,101474.0,20.3,6.4,122.0,6.4,0.27,2.4,0.05,126.0,0.5,0.25,1.5,1,0.47,6.2,14473.0,11323.0,5658.0,8918.0,1,0,Male
51,24.0,19865.0,67.2,18.6,6.0,0.9,1.0,3.5,0.04,1446.0,0.56,0.38,15.1,3,0.63,0.0,1917.0,2241.0,2635.0,1304.0,1,0,Female
52,48.0,16942.0,22.9,4.4,252.0,6.6,0.26,2.1,0.03,92.0,0.5,0.69,0.7,2,0.42,0.0,644.0,1783.0,2834.0,1114.0,2,2,Female
53,29.0,96814.0,86.1,16.9,10.0,3.3,0.77,6.4,0.08,1468.0,0.41,0.22,11.2,2,0.36,1.8,7478.0,10579.0,14000.0,3380.0,0,0,Male
54,36.0,90426.0,16.4,0.8,142.0,2.9,0.35,1.6,0.09,12.0,0.35,0.0,1.3,3,0.31,7.9,4091.0,8513.0,13633.0,489.0,1,1,Female
55,38.0,22633.0,12.6,6.2,214.0,4.9,0.03,4.9,0.05,88.0,0.41,0.38,2.9,1,0.45,0.0,1755.0,1105.0,3102.0,775.0,4,1,Female
56,35.0,91176.0,88.2,24.9,20.0,3.0,0.9,6.4,0.03,2596.0,0.32,0.26,12.1,1,0.51,1.8,2798.0,9506.0,6520.0,3275.0,2,0,Female
57,52.0,25888.0,19.3,7.3,210.0,6.0,0.19,1.7,0.05,126.0,0.33,0.51,3.5,5,0.48,0.0,1859.0,2043.0,2540.0,1322.0,4,0,Male
58,45.0,32921.0,18.0,3.2,152.0,4.1,0.52,1.0,0.12,56.0,0.29,0.0,1.3,5,0.3,10.4,4765.0,4496.0,3646.0,2914.0,1,2,Female
59,37.0,38253.0,8.7,6.9,174.0,5.6,0.09,4.3,0.04,61.0,0.14,0.28,4.3,2,0.42,0.0,3312.0,4979.0,5128.0,2097.0,5,1,Male
60,37.0,97381.0,76.9,28.9,23.0,3.8,0.65,4.5,0.05,2024.0,0.5,0.24,19.9,0,0.69,2.7,11912.0,8625.0,12573.0,1740.0,1,2,Female
61,24.0,78359.0,100.0,20.1,11.0,2.6,0.52,8.3,0.11,2024.0,0.31,0.25,11.0,1,0.13,5.2,9563.0,6389.0,4284.0,1215.0,1,0,Female
62,37.0,81364.0,38.3,4.0,45.0,3.5,0.46,3.7,0.11,152.0,0.39,0.65,3.0,6,0.47,2.5,2269.0,8413.0,5876.0,7650.0,2,1,Female
63,44.0,90934.0,15.7,5.4,280.0,6.3,0.01,2.7,0.11,84.0,0.0,0.32,6.5,3,0.68,6.2,13455.0,10545.0,10554.0,7852.0,2,0,Female
64,46.0,91576.0,15.3,10.5,90.0,4.5,0.13,1.1,0.06,183.0,0.22,0.13,0.6,1,0.35,0.0,9491.0,3172.0,6362.0,2887.0,2,0,Female
65,40.0,83725.0,12.2,4.6,173.0,5.8,0.22,2.4,0.12,66.0,0.13,0.22,0.0,3,0.21,2.1,4975.0,7161.0,12665.0,6888.0,1,1,Male
66,39.0,16997.0,22.4,3.3,250.0,5.5,0.16,2.3,0.07,74.0,0.24,0.31,2.5,5,0.7,0.0,2000.0,2151.0,2789.0,1509.0,3,1,Female
67,39.0,101778.0,26.2,7.1,250.0,3.7,0.52,5.7,0.04,200.0,0.27,0.42,0.0,3,0.49,0.0,9684.0,5508.0,14465.0,1048.0,1,0,Male
68,36.0,80840.0,90.0,21.5,6.0,1.3,0.61,5.5,0.07,2058.0,0.24,0.68,8.0,5,0.4,1.7,8623.0,9433.0,9639.0,5659.0,3,1,Male
69,30.0,70653.0,60.8,25.3,6.0,5.2,0.98,4.5,0.14,1498.0,0.35,0.46,13.7,7,0.48,1.4,3023.0,2266.0,12893.0,1122.0,2,2,Female
70,40.0,81466.0,78.7,11.0,13.0,4.1,0.85,6.8,0.02,826.0,0.17,0.72,3.3,6,0.23,2.8,5819.0,3395.0,13492.0,7582.0,0,0,Female
71,29.0,82467.0,94.5,18.9,12.0,2.5,0.68,8.0,0.01,2079.0,0.28,0.42,7.7,0,0.18,1.0,4853.0,8799.0,7474.0,3027.0,1,1,Female
72,50.0,89167.0,21.0,10.7,180.0,3.3,0.02,4.3,0.07,224.0,0.38,0.16,4.9,3,0.55,4.6,6962.0,4858.0,13312.0,7046.0,2,0,Female
73,36.0,36806.0,15.1,5.1,279.0,3.8,0.33,2.5,0.09,66.0,0.47,0.44,2.7,5,0.43,0.0,737.0,1353.0,3139.0,1897.0,0,1,Male
74,47.0,88329.0,37.8,5.8,274.0,3.6,0.4,1.3,0.11,257.0,0.34,0.69,0.0,1,0.28,0.0,2719.0,11950.0,4925.0,6260.0,1,1,Male
75,42.0,108208.0,24.7,1.2,212.0,2.6,0.0,6.2,0.01,28.0,0.48,0.39,0.0,4,0.41,0.1,14772.0,9785.0,6682.0,8.0,2,1,Male
76,31.0,88265.0,83.5,31.3,18.0,0.2,0.73,6.7,0.03,2187.0,0.51,0.06,17.7,1,0.37,0.0,2977.0,7744.0,4467.0,3023.0,2,1,Female
77,40.0,81693.0,21.7,7.1,245.0,1.7,0.39,2.5,0.13,175.0,0.01,0.4,5.1,3,0.48,0.0,3617.0,6204.0,6250.0,1807.0,3,0,Female
78,36.0,88333.0,17.3,7.0,300.0,5.9,0.46,2.6,0.05,121.0,0.35,0.12,4.5,0,0.44,0.3,5674.0,10376.0,11211.0,2866.0,2,0,Female
79,50.0,22168.0,24.5,4.4,251.0,7.1,0.13,4.0,0.16,115.0,0.42,0.0,6.3,3,0.42,0.0,1397.0,2024.0,3600.0,590.0,1,1,Female
80,24.0,28258.0,63.9,20.1,22.0,2.3,0.89,4.9,0.07,1066.0,0.11,0.12,9.0,3,0.47,3.4,2353.0,4131.0,3977.0,2761.0,3,0,Male
81,44.0,30301.0,24.7,7.8,257.0,1.0,0.31,3.9,0.13,206.0,0.27,0.52,4.0,4,0.52,1.4,3472.0,2396.0,2963.0,1971.0,1,0,Male
82,38.0,89394.0,17.9,6.6,292.0,5.5,0.35,2.4,0.1,106.0,0.21,0.69,4.3,1,0.27,10.6,11505.0,4508.0,5058.0,1090.0,1,2,Female
83,24.0,33112.0,70.3,18.0,34.0,0.3,0.68,5.7,0.05,1016.0,0.41,0.28,9.8,3,0.58,7.3,3314.0,1789.0,3314.0,1121.0,1,0,Female
84,56.0,99999.0,20.4,3.9,233.0,3.9,0.33,2.5,0.07,68.0,0.17,0.32,3.1,2,0.25,0.0,6167.0,2121.0,6270.0,2005.0,3,0,Female
85,32.0,77241.0,94.3,30.7,14.0,5.3,0.88,7.9,0.08,2371.0,0.06,0.23,16.4,4,0.65,3.2,9398.0,7051.0,6683.0,1771.0,2,2,Male
86,45.0,17572.0,14.0,1.8,212.0,2.4,0.02,1.0,0.08,21.0,0.59,0.21,0.0,2,0.5,3.7,801.0,1164.0,1839.0,351.0,2,0,Male
87,51.0,30436.0,9.6,10.2,168.0,2.4,0.3,4.2,0.11,95.0,0.21,0.13,9.5,6,0.21,4.0,735.0,1445.0,4132.0,305.0,2,1,Male
88,43.0,103305.0,22.2,9.0,288.0,7.3,0.25,1.6,0.21,178.0,0.27,0.52,14.2,3,0.63,0.0,5299.0,3114.0,18182.0,5202.0,1,0,Female
89,57.0,19968.0,18.2,2.2,252.0,4.6,0.36,3.3,0.08,44.0,0.54,0.37,2.0,2,0.31,8.4,1522.0,2948.0,2158.0,488.0,4,1,Female
90,23.0,29134.0,62.8,15.4,18.0,3.8,0.87,5.7,0.13,885.0,0.37,0.26,10.6,4,0.18,0.0,1146.0,3869.0,2100.0,351.0,1,0,Female
91,39.0,83600.0,84.2,26.0,27.0,2.4,0.69,5.9,0.05,2496.0,0.14,0.4,9.3,5,0.34,0.0,1736.0,3868.0,16336.0,1287.0,4,0,Female
92,39.0,80578.0,89.7,25.6,11.0,3.8,0.93,6.4,0.1,1923.0,0.27,0.28,13.5,2,0.4,0.0,7390.0,11735.0,10361.0,5493.0,2,0,Male
93,40.0,84366.0,21.9,3.1,115.0,3.5,0.17,2.9,0.1,61.0,0.42,0.0,5.1,6,0.54,0.0,8415.0,6124.0,8714.0,7783.0,1,1,Male
94,31.0,105850.0,73.2,30.5,4.0,5.4,0.73,5.7,0.06,2655.0,0.28,0.28,22.3,2,0.38,0.6,10813.0,3206.0,14404.0,239.0,1,3,Female
95,55.0,21085.0,14.4,4.1,179.0,5.6,0.13,2.7,0.04,59.0,0.46,0.25,3.3,2,0.29,8.0,1831.0,1385.0,3627.0,177.0,0,0,Female
96,25.0,27362.0,75.0,14.7,26.0,0.2,0.94,6.0,0.1,1039.0,0.42,0.13,13.8,0,0.42,1.5,1981.0,1021.0,1672.0,1522.0,1,1,Male
97,34.0,78096.0,85.7,24.6,28.0,2.0,0.88,8.3,0.04,1946.0,0.31,0.32,15.0,3,0.34,10.1,1855.0,2572.0,5323.0,524.0,1,0,Female
98,56.0,17825.0,27.0,2.3,165.0,2.8,0.15,3.3,0.03,69.0,0.45,0.17,2.2,6,0.32,5.3,628.0,2664.0,939.0,1408.0,1,3,Male
99,37.0,92811.0,25.7,4.2,166.0,3.8,0.34,1.0,0.08,129.0,0.11,0.77,0.0,3,0.42,0.0,6874.0,9061.0,16346.0,369.0,2,0,Male
100,33.0,97244.0,23.1,12.4,229.0,2.8,0.29,2.9,0.06,248.0,0.35,0.74,2.4,5,0.49,0.0,12210.0,12304.0,7661.0,5527.0,0,3,Male
101,32.0,73563.0,81.9,29.4,21.0,3.4,0.66,4.5,0.0,2485.0,0.53,0.6,14.0,3,0.6,6.0,1779.0,9636.0,9746.0,4745.0,0,2,Male
102,42.0,91957.0,2.5,11.1,210.0,4.1,0.3,3.4,0.04,22.0,0.0,0.39,6.1,4,0.53,0.0,9936.0,2364.0,11604.0,2127.0,1,2,Female
103,27.0,23800.0,83.4,23.7,29.0,1.1,0.77,3.2,0.1,2154.0,0.25,0.2,8.0,1,0.52,6.9,3100.0,720.0,3179.0,383.0,2,1,Male
104,43.0,83105.0,8.2,7.3,191.0,6.4,0.49,2.7,0.17,48.0,0.47,0.4,3.8,2,0.57,2.7,5120.0,11736.0,6809.0,1941.0,0,1,Male
105,23.0,21616.0,90.2,19.4,6.0,0.4,0.59,5.9,0.1,1497.0,0.17,0.4,2.7,4,0.39,9.6,1773.0,2028.0,2583.0,829.0,3,1,Female
106,22.0,28097.0,90.1,17.5,36.0,4.5,1.0,3.8,0.11,1450.0,0.3,0.0,9.8,2,0.26,3.2,3022.0,3339.0,4817.0,1449.0,1,1,Female
107,34.0,22932.0,16.6,3.5,222.0,6.7,0.17,3.0,0.03,64.0,0.1,0.55,1.2,7,0.49,10.5,1485.0,1883.0,4467.0,935.0,1,1,Male
108,45.0,26542.0,16.6,4.0,241.0,1.4,0.01,3.5,0.15,75.0,0.01,0.25,1.0,1,0.21,2.7,1019.0,2378.0,1653.0,1183.0,2,1,Female
109,38.0,36252.0,20.3,6.3,142.0,1.5,0.27,3.3,0.04,128.0,0.29,0.25,0.1,2,0.55,0.0,5079.0,1442.0,2009.0,2720.0,2,0,Female
110,52.0,21671.0,10.2,2.8,217.0,5.9,0.1,1.1,0.02,26.0,0.56,0.8,0.0,5,0.45,8.5,442.0,935.0,3441.0,1756.0,3,1,Female
111,35.0,87636.0,100.0,23.1,18.0,1.7,0.66,4.3,0.07,2379.0,0.08,0.27,4.1,4,0.5,7.4,7984.0,1892.0,9618.0,8062.0,1,1,Female
112,26.0,19718.0,87.3,20.0,22.0,5.0,1.0,5.6,0.03,1932.0,0.37,0.15,5.8,3,0.48,0.0,1151.0,1841.0,3124.0,1221.0,3,0,Male
113,52.0,87537.0,21.1,5.9,167.0,4.4,0.0,4.5,0.0,137.0,0.28,0.8,5.8,4,0.34,4.0,6454.0,2017.0,14176.0,7809.0,1,0,Male
114,36.0,25170.0,20.6,2.4,157.0,3.8,0.4,1.0,0.03,45.0,0.39,0.11,0.0,5,0.5,0.0,3700.0,3162.0,4215.0,193.0,1,0,Female
115,20.0,20141.0,65.6,12.6,29.0,4.7,0.91,7.9,0.15,840.0,0.5,0.18,4.6,3,0.65,0.4,1030.0,1419.0,3367.0,121.0,1,0,Male
116,50.0,28333.0,3.9,5.6,213.0,7.2,0.0,1.0,0.05,24.0,0.57,0.48,0.0,1,0.43,0.0,1051.0,4132.0,3619.0,1892.0,1,0,Male
117,34.0,66255.0,18.5,5.5,224.0,2.2,0.13,1.0,0.03,115.0,0.12,0.66,3.7,0,0.5,0.0,5806.0,5234.0,9489.0,2087.0,1,0,Female
118,34.0,83517.0,10.3,7.6,111.0,2.1,0.41,1.0,0.1,78.0,0.19,0.45,7.0,5,0.37,0.0,6405.0,11171.0,6288.0,4540.0,5,0,Female
119,29.0,23291.0,83.9,13.8,11.0,3.0,0.72,5.4,0.0,1160.0,0.39,0.23,6.4,7,0.11,7.8,3072.0,1689.0,2940.0,101.0,0,0,Male
120,42.0,89196.0,19.4,8.2,321.0,5.8,0.43,3.3,0.08,150.0,0.31,0.8,6.5,1,0.56,2.4,4198.0,2146.0,7286.0,4390.0,3,1,Male
121,39.0,82332.0,70.8,22.7,11.0,5.1,0.87,4.7,0.19,1586.0,0.07,0.37,8.8,4,0.38,2.2,5303.0,11318.0,13331.0,468.0,0,1,Female
122,60.0,25659.0,7.1,1.8,136.0,3.2,0.33,1.0,0.11,15.0,0.48,0.43,2.1,0,0.38,0.0,3258.0,1515.0,3171.0,109.0,2,0,Female
123,47.0,24638.0,26.8,2.5,240.0,3.4,0.12,1.0,0.06,56.0,0.38,0.86,0.0,1,0.48,0.0,970.0,1163.0,2755.0,1050.0,2,0,Male
124,48.0,29424.0,12.7,4.8,198.0,5.7,0.49,1.3,0.02,49.0,0.13,0.54,6.7,3,0.57,2.5,1173.0,2156.0,3155.0,2545.0,1,1,Female
125,33.0,95562.0,89.2,13.4,4.0,4.0,0.74,3.7,0.06,1433.0,0.38,0.4,9.2,4,0.38,0.0,8542.0,2338.0,13595.0,3739.0,0,0,Male
126,50.0,25926.0,16.2,3.3,231.0,3.9,0.29,3.4,0.09,55.0,0.49,0.38,5.4,2,0.2,5.7,1353.0,2720.0,3794.0,2430.0,2,1,Male
127,40.0,86044.0,83.4,15.4,6.0,3.9,0.6,5.2,0.09,1118.0,0.13,0.45,3.7,1,0.38,8.3,8068.0,11727.0,11457.0,2793.0,1,1,Female
128,42.0,98026.0,12.9,7.8,127.0,4.2,0.42,1.0,0.18,113.0,0.11,0.33,7.0,5,0.6,1.1,11687.0,2560.0,5588.0,6024.0,2,2,Female
129,22.0,27722.0,100.0,17.0,26.0,0.2,0.91,5.7,0.03,1848.0,0.16,0.27,9.2,0,0.42,1.4,980.0,1453.0,4822.0,2505.0,0,1,Female
130,24.0,28731.0,76.4,12.7,14.0,0.2,0.8,5.8,0.12,959.0,0.22,0.33,9.4,4,0.63,0.0,3172.0,2982.0,4112.0,1593.0,2,1,Female
131,35.0,95965.0,16.9,3.7,153.0,2.6,0.16,4.9,0.03,75.0,0.05,0.19,0.7,6,0.4,2.6,13437.0,2227.0,17481.0,2192.0,2,2,Female
132,35.0,22714.0,29.0,2.4,167.0,6.2,0.05,4.5,0.0,71.0,0.09,0.69,1.3,3,0.46,3.3,3147.0,1530.0,3917.0,876.0,1,1,Male
133,35.0,82829.0,66.2,26.9,14.0,4.2,0.92,5.5,0.16,2075.0,0.15,0.3,14.9,1,0.43,6.0,1890.0,3737.0,6673.0,5432.0,2,0,Male
134,37.0,77601.0,11.1,7.4,165.0,3.5,0.33,2.7,0.1,72.0,0.19,0.09,5.1,3,0.58,0.0,10412.0,4874.0,4721.0,7374.0,4,0,Male
135,47.0,31982.0,15.3,4.6,211.0,5.9,0.05,2.7,0.03,70.0,0.0,0.65,5.6,2,0.27,0.0,3447.0,2102.0,2361.0,2907.0,1,1,Female
136,26.0,23748.0,96.9,22.1,21.0,3.8,0.72,7.7,0.0,2146.0,0.26,0.51,7.8,3,0.16,7.1,2059.0,2725.0,4144.0,653.0,2,0,Female
137,21.0,23927.0,88.0,16.6,3.0,2.5,0.65,5.1,0.07,1669.0,0.25,0.45,7.4,4,0.51,0.1,2541.0,2354.0,4481.0,799.0,3,0,Male
138,34.0,83887.0,91.4,16.4,20.0,5.7,0.87,9.6,0.03,1525.0,0.51,0.0,6.6,4,0.37,11.8,6292.0,9686.0,15811.0,3439.0,0,1,Male
139,25.0,86979.0,79.9,26.8,13.0,2.0,0.82,5.5,0.0,2014.0,0.05,0.41,15.4,5,0.29,4.5,5537.0,7260.0,9331.0,8187.0,0,2,Female
140,43.0,27336.0,22.8,6.7,239.0,1.2,0.06,3.2,0.06,183.0,0.06,0.5,5.0,4,0.0,5.4,1887.0,1499.0,1489.0,1743.0,1,1,Male
141,53.0,25213.0,27.9,3.3,224.0,5.5,0.24,3.1,0.16,79.0,0.23,0.31,4.6,5,0.28,2.2,3473.0,1078.0,2941.0,2434.0,1,1,Male
142,24.0,21245.0,98.6,25.2,8.0,2.7,0.75,9.6,0.12,2433.0,0.44,0.32,11.9,5,0.35,2.8,1675.0,655.0,4114.0,1191.0,0,1,Female
143,39.0,75176.0,78.4,15.4,30.0,4.6,0.72,5.7,0.0,1357.0,0.27,0.48,8.5,6,0.26,0.0,7497.0,1867.0,12796.0,3299.0,1,2,Female
144,23.0,25422.0,86.8,20.5,18.0,5.7,0.62,6.8,0.05,1534.0,0.23,0.32,14.0,2,0.29,9.7,1592.0,2940.0,1373.0,1028.0,2,3,Male
145,20.0,33337.0,89.4,13.0,37.0,1.4,0.85,6.9,0.1,1180.0,0.12,0.37,3.6,1,0.15,0.0,1516.0,4277.0,4783.0,3332.0,2,0,Female
146,33.0,90023.0,76.8,32.2,27.0,3.3,0.44,6.8,0.09,2009.0,0.26,0.54,15.6,5,0.59,0.0,9035.0,4659.0,11465.0,250.0,1,0,Male
147,25.0,23906.0,72.9,20.5,38.0,3.8,0.88,5.7,0.11,1591.0,0.3,0.45,8.6,5,0.32,4.2,2263.0,2007.0,1487.0,1851.0,1,0,Female
